"x","y","z","class"
-0.517573237419128,-0.762739479541779,-6.75569248199463,"cycling"
-1.52547895908356,-1.19859063625336,-6.15639734268188,"cycling"
-2.07029294967651,-1.7161637544632,-6.15639734268188,"cycling"
-3.75921607017517,-6.90551614761353,-5.52986097335815,"cycling"
-4.2631688117981,-9.31631755828857,-5.54348134994507,"cycling"
-4.79436254501343,-10.5012884140015,-5.91123104095459,"cycling"
-5.47537994384766,-10.4604272842407,-6.36070251464844,"cycling"
-5.44813919067383,-9.80665016174316,-6.02019357681274,"cycling"
-4.73988103866577,-10.0654373168945,-5.979332447052,"cycling"
-4.30402994155884,-9.76578903198242,-6.68759059906006,"cycling"
-4.0180025100708,-8.6353006362915,-5.25745439529419,"cycling"
-3.2825038433075,-8.62168025970459,-4.6717791557312,"cycling"
-3.77283620834351,-9.0302906036377,-5.59796285629272,"cycling"
-5.14849138259888,-8.28117179870605,-4.53557586669922,"cycling"
-4.50833511352539,-8.52633762359619,-4.65815877914429,"cycling"
-3.59577178955078,-9.31631755828857,-5.14849138259888,"cycling"
-3.94990086555481,-9.37079906463623,-5.69330549240112,"cycling"
-3.59577178955078,-8.6353006362915,-6.48328542709351,"cycling"
-3.0373375415802,-7.88618135452271,-6.5786280632019,"cycling"
-2.57424569129944,-9.15287399291992,-7.19154357910156,"cycling"
-3.09181904792786,-7.12344169616699,-7.2324047088623,"cycling"
-2.62872719764709,-4.29040956497192,-7.24602508544922,"cycling"
-1.15772950649261,-3.65025329589844,-7.34136724472046,"cycling"
-2.26097774505615,-3.55491065979004,-8.07686614990234,"cycling"
-3.33698511123657,-3.5412905216217,-7.36860799789429,"cycling"
-1.96133005619049,-1.49823820590973,-6.48328542709351,"cycling"
-0.858081877231598,-1.82512664794922,-7.46395063400269,"cycling"
-1.18497025966644,-2.46528291702271,-7.13706207275391,"cycling"
-0.926183640956879,-2.0566725730896,-6.41518354415894,"cycling"
-0.326888352632523,-2.92837476730347,-6.59224843978882,"cycling"
-0.926183640956879,-4.27678918838501,-7.01447916030884,"cycling"
-2.26097774505615,-4.93056583404541,-7.08258104324341,"cycling"
-3.15992069244385,-6.03381395339966,-6.34708213806152,"cycling"
-3.71835494041443,-8.68978214263916,-6.03381395339966,"cycling"
-4.05886363983154,-9.37079906463623,-5.74778652191162,"cycling"
-4.44023323059082,-9.83389091491699,-5.70692586898804,"cycling"
-4.72626066207886,-10.0518169403076,-5.72054624557495,"cycling"
-4.54919624328613,-9.71130752563477,-5.08038949966431,"cycling"
