"user","x","y","z","class"
"1",-0.76672363,3.3141632,-9.221725,"bus"
"1",-0.9083557,3.326065,-9.155075,"bus"
"1",-0.7940979,3.524826,-9.277664,"bus"
"1",-0.36206055,3.517685,-9.126511,"bus"
"1",-0.4656067,3.5545807,-9.606155,"bus"
"1",-0.72506714,3.5724335,-9.418106,"bus"
"1",-0.4060974,3.5938568,-9.56926,"bus"
"1",-0.5465393,3.621231,-9.464523,"bus"
"1",-0.5798645,3.602188,-9.410965,"bus"
"1",-0.45251465,3.4296112,-9.460953,"bus"
"1",-0.55844116,3.4010468,-9.718033,"bus"
"1",-0.71554565,3.505783,-9.515701,"bus"
"1",-0.5620117,3.4200897,-9.451431,"bus"
"1",-0.6703186,3.3403473,-9.57402,"bus"
"1",-0.71673584,3.3474884,-9.50499,"bus"
"1",-0.704834,3.318924,-9.562119,"bus"
"1",-0.85479736,3.3998566,-9.4657135,"bus"
"1",-0.7107849,3.3094025,-9.466904,"bus"
"1",-0.6227112,3.4034271,-9.619247,"bus"
"1",-0.74887085,3.5557709,-9.339554,"bus"
"1",-0.57510376,3.5331573,-9.374069,"bus"
"1",-0.5560608,3.4831696,-9.395493,"bus"
"1",-0.6976929,3.5938568,-9.345505,"bus"
"1",-0.7203064,3.6283722,-9.355026,"bus"
"1",-0.62628174,3.6557465,-9.390732,"bus"
"1",-0.6631775,3.652176,-9.346695,"bus"
"1",-0.65127563,3.7128754,-9.388351,"bus"
"1",-0.6976929,3.6735992,-9.278854,"bus"
"1",-0.6548462,3.7331085,-9.3502655,"bus"
"1",-0.6560364,3.7450104,-9.255051,"bus"
"1",-0.70007324,3.8354645,-9.126511,"bus"
"1",-0.7798157,4.025894,-8.871811,"bus"
"1",-0.7274475,4.3162994,-8.7730255,"bus"
"1",-0.7036438,4.6114655,-8.558792,"bus"
"1",-0.7595825,4.659073,-8.634964,"bus"
"1",-0.7714844,4.6709747,-8.782547,"bus"
"1",-0.9107361,4.6495514,-8.851578,"bus"
"1",-0.82980347,4.699539,-8.917038,"bus"
"1",-0.9178772,4.731674,-8.680191,"bus"
"1",-0.8678894,4.651932,-8.807541,"bus"
"1",-0.9904785,4.6745453,-8.592117,"bus"
"1",-1.070221,4.980423,-8.387405,"bus"
"1",-1.1701965,5.7147675,-7.828018,"bus"
"1",-1.0464172,5.9956512,-7.8113556,"bus"
"1",-0.8179016,5.3124847,-8.3624115,"bus"
"1",-0.77267456,4.7221527,-8.988449,"bus"
"1",-1.0630798,4.838791,-8.849197,"bus"
"1",-1.19281,5.454117,-8.167221,"bus"
"1",-1.032135,5.6897736,-7.6899567,"bus"
