@relation bus
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {'bus'}
@data
-1.737915,-10.228958,-0.9404144,'bus'
-0.41799927,-9.455338,-0.7214203,'bus'
0.22827148,-9.100662,0.36521912,'bus'
0.22113037,-9.028061,1.0900421,'bus'
-0.08831787,-9.237534,1.1400299,'bus'
-0.7512512,-9.59935,1.2197723,'bus'
-1.3225403,-9.765976,1.4328156,'bus'
-1.2320862,-9.78978,1.2007294,'bus'
-0.96429443,-9.765976,1.1114655,'bus'
-0.9916687,-9.927841,0.9257965,'bus'
-1.3999023,-10.007584,0.6449127,'bus'
-1.6653137,-10.140884,0.6282501,'bus'
-1.840271,-10.23967,0.9912567,'bus'
-1.7640991,-9.895706,0.4402008,'bus'
-1.3511047,-9.893326,-0.26200867,'bus'
-1.0404663,-9.912369,-0.69285583,'bus'
-0.9512024,-9.695755,-0.6143036,'bus'
-1.0809326,-9.783829,-0.015640259,'bus'
-1.1773376,-9.694565,0.31047058,'bus'
-1.1333008,-9.617203,0.068862915,'bus'
-1.1428223,-9.435104,-0.104904175,'bus'
-1.2999268,-9.618393,1.0840912,'bus'
-1.1273499,-9.606491,1.2245331,'bus'
-1.0940247,-9.40892,1.1328888,'bus'
-1.2666016,-9.492233,0.9686432,'bus'
-1.558197,-9.704086,0.8793793,'bus'
-1.6593628,-9.618393,1.1507416,'bus'
-1.4891663,-9.870712,1.3292694,'bus'
-1.4582214,-9.906418,0.5080414,'bus'
-1.3844299,-9.650528,0.026016235,'bus'
-1.3439636,-9.560074,0.43663025,'bus'
-1.4725037,-9.489853,0.9341278,'bus'
-1.6272278,-9.313705,1.037674,'bus'
-1.6165161,-9.2113495,0.7615509,'bus'
-1.5201111,-9.611252,0.39497375,'bus'
-1.5201111,-9.668381,0.092666626,'bus'
-1.5177307,-9.711227,-0.17036438,'bus'
-1.5462952,-9.796921,-0.36198425,'bus'
-1.8414612,-9.754074,-0.117996216,'bus'
-1.7069702,-9.72551,0.34022522,'bus'
-1.6438904,-9.771927,0.84843445,'bus'
-1.6676941,-9.710037,0.7722626,'bus'
-1.7355347,-9.85524,0.8758087,'bus'
-1.9164429,-9.888565,0.8627167,'bus'
-1.6486511,-9.657669,0.31285095,'bus'
-1.2808838,-9.313705,0.012924194,'bus'
-1.3487244,-9.201828,0.45567322,'bus'
-1.0737915,-9.164932,0.4818573,'bus'
-0.8262329,-9.312515,0.60920715,'bus'
-0.79766846,-9.655289,0.67466736,'bus'
-1.1963806,-10.190872,0.8270111,'bus'
-1.2713623,-10.440811,0.19026184,'bus'
-0.36444092,-9.92189,-0.7952118,'bus'
0.13305664,-9.59697,-1.451004,'bus'
