"user","timestamp","x","y","z","class"
"24c9","2000-01-01 12:00:07",-1.3958195,7.7428484,3.0502129,"train"
"24c9","2000-01-01 12:00:07",-1.448492,7.6015906,3.0621839,"train"
"24c9","2000-01-01 12:00:07",-1.436521,7.5225816,3.095703,"train"
"24c9","2000-01-01 12:00:07",-1.340753,7.5345526,3.1364043,"train"
"24c9","2000-01-01 12:00:07",-1.1851299,7.642292,3.145981,"train"
"24c9","2000-01-01 12:00:07",-1.0534488,7.81228,3.1771057,"train"
"24c9","2000-01-01 12:00:07",-0.79487497,7.9750857,3.13401,"train"
"24c9","2000-01-01 12:00:07",-0.4405331,8.14268,2.9903579,"train"
"24c9","2000-01-01 12:00:07",-0.18674773,8.293514,2.932897,"train"
"24c9","2000-01-01 12:00:07",-0.055066638,8.3629465,2.9759927,"train"
"24c9","2000-01-01 12:00:07",-0.035913024,8.329428,3.016694,"train"
"24c9","2000-01-01 12:00:07",-0.0023942017,8.123527,3.2273839,"train"
"24c9","2000-01-01 12:00:07",-0.08619126,7.843405,3.4165258,"train"
"24c9","2000-01-01 12:00:07",-0.29927522,7.4986396,3.514688,"train"
"24c9","2000-01-01 12:00:07",-0.49799395,7.252037,3.6176388,"train"
"24c9","2000-01-01 12:00:08",-0.6847417,7.055712,3.7948096,"train"
"24c9","2000-01-01 12:00:08",-0.85473,6.933608,3.9815574,"train"
"24c9","2000-01-01 12:00:08",-1.0319009,6.909666,4.0940847,"train"
"24c9","2000-01-01 12:00:08",-1.2593501,6.8545995,4.0821137,"train"
"24c9","2000-01-01 12:00:08",-1.4700398,6.694188,3.9336734,"train"
"24c9","2000-01-01 12:00:08",-1.5753847,6.43322,3.7972038,"train"
"24c9","2000-01-01 12:00:08",-1.6519991,6.1890116,3.632004,"train"
"24c9","2000-01-01 12:00:08",-1.8028339,5.8921304,3.3806129,"train"
"24c9","2000-01-01 12:00:08",-1.8219875,5.650316,3.074155,"train"
"24c9","2000-01-01 12:00:08",-1.7477672,5.542577,2.7605145,"train"
"24c9","2000-01-01 12:00:08",-1.6448165,5.583278,2.4995465,"train"
"24c9","2000-01-01 12:00:08",-1.661576,5.791574,2.4492683,"train"
"24c9","2000-01-01 12:00:08",-1.4939818,6.133945,2.4899697,"train"
"24c9","2000-01-01 12:00:08",-1.1252748,6.8091097,2.6431987,"train"
"24c9","2000-01-01 12:00:08",-1.0965444,7.517793,2.6264393,"train"
"24c9","2000-01-01 12:00:09",-1.364695,9.0429,2.408567,"train"
"24c9","2000-01-01 12:00:09",-1.4628572,9.988609,2.3319526,"train"
"24c9","2000-01-01 12:00:09",-1.1971009,11.959038,2.3870192,"train"
"24c9","2000-01-01 12:00:09",-0.37349546,13.761871,2.3942018,"train"
"24c9","2000-01-01 12:00:09",0.7182605,15.406688,2.7461493,"train"
"24c9","2000-01-01 12:00:09",2.111686,16.795324,3.0430303,"train"
"24c9","2000-01-01 12:00:09",3.4620156,18.22227,2.4492683,"train"
"24c9","2000-01-01 12:00:09",4.8243165,19.405005,1.3838485,"train"
"24c9","2000-01-01 12:00:09",6.019023,19.958065,-0.33758244,"train"
"24c9","2000-01-01 12:00:09",6.9407907,19.977219,-3.110068,"train"
"24c9","2000-01-01 12:00:09",7.067683,18.358738,-6.471527,"train"
"24c9","2000-01-01 12:00:09",5.614403,15.866375,-6.849811,"train"
"24c9","2000-01-01 12:00:09",3.6703112,12.789825,-5.645528,"train"
"24c9","2000-01-01 12:00:09",2.585738,10.8624935,-3.9815574,"train"
"24c9","2000-01-01 12:00:09",1.8363527,9.478644,-2.2457612,"train"
